iso3,regimen,modelo,mae_rel,dm_p,gana_sig
DOM,calma,"ARIMA(1,1,1)",0.71811750346514,0.02049818067264828,True
DOM,calma,"ARMA(2,2)",0.727427406646041,0.018148436607354306,True
DOM,calma,LSTM(16),0.7449621448448218,0.28227846932374734,False
DOM,calma,Random Forest,0.7541292869120271,0.0642299007758937,False
DOM,calma,Comb. RF/AR(1) suave,0.7848386568831727,0.11744367613256848,False
DOM,calma,Comb. RF/AR(1) dura,0.7867424381618101,0.12092622280175365,False
DOM,calma,Comb. RF/ingenuo suave,0.8805509865434081,0.2851465402537205,False
DOM,calma,Ridge sobre rezagos,0.9273912521275847,0.38378496900033626,False
DOM,calma,Ingenuo,1.0,,False
DOM,calma,Deriva,1.0263590393858866,0.008516325068609358,False
DOM,ruptura,Random Forest,0.6222482543942867,,False
DOM,ruptura,Comb. RF/AR(1) dura,0.6303413094040448,,False
DOM,ruptura,AR(1),0.6500442571437479,,False
DOM,ruptura,Comb. RF/AR(1) umbral min,0.6500442571437479,,False
DOM,ruptura,"ARMA(2,2)",0.6742725262654826,,False
DOM,ruptura,Comb. RF/AR(1) suave,0.6766563639446895,,False
DOM,ruptura,"ARIMA(1,1,1)",0.6912211312179589,,False
DOM,ruptura,Comb. LSTM/AR(1) suave,0.7004523292498226,,False
DOM,ruptura,LSTM(16),0.7362234127105484,,False
DOM,ruptura,Comb. RF/ingenuo suave,0.7435489283191193,,False
DOM,ruptura,Ridge sobre rezagos,0.786399607958749,,False
DOM,ruptura,Ingenuo,1.0,,False
DOM,ruptura,Deriva,1.0063123628502098,,False
ECU,calma,Comb. RF/AR(1) umbral min,0.7277471848107488,0.008916499581988133,True
ECU,calma,AR(1),0.7542438776411772,0.014150532809107054,True
ECU,calma,Comb. RF/AR(1) suave,0.7798302122542902,0.05458627066890326,False
ECU,calma,Comb. RF/AR(1) dura,0.7808185333215893,0.05543053195864948,False
ECU,calma,"ARMA(2,2)",0.7972318338252057,0.04411702095463126,True
ECU,calma,LSTM(16),0.7992757407695813,0.0644500356404189,False
ECU,calma,"ARIMA(1,1,1)",0.8070498264395557,0.0427086479496033,True
ECU,calma,Comb. RF/ingenuo suave,0.8517397641515796,0.14427098990012036,False
