modelo,familia,origen,objetivo,paso,real,pronostico,error
LSTM,red neuronal,2009,2010,1,4.49465897070922,4.677906301310574,0.183247330601354
CNN 1D,red neuronal,2009,2010,1,4.49465897070922,1.7949016189749596,-2.6997573517342603
Ingenuo,referencia,2010,2011,1,6.94789198173555,4.49465897070922,-2.45323301102633
Media historica,referencia,2010,2011,1,6.94789198173555,4.169715629898961,-2.7781763518365894
Media 5 anios,referencia,2010,2011,1,6.94789198173555,4.4745634383418045,-2.4733285433937455
Deriva,referencia,2010,2011,1,6.94789198173555,4.4825251336953045,-2.4653668480402455
AR(1),Box-Jenkins,2010,2011,1,6.94789198173555,4.306843810857797,-2.6410481708777533
AR(2),Box-Jenkins,2010,2011,1,6.94789198173555,4.04463196323489,-2.90326001850066
MA(1),Box-Jenkins,2010,2011,1,6.94789198173555,4.597422946653895,-2.3504690350816553
MA(2),Box-Jenkins,2010,2011,1,6.94789198173555,4.443171345216792,-2.5047206365187584
"ARMA(1,1)",Box-Jenkins,2010,2011,1,6.94789198173555,4.169026646263732,-2.778865335471818
"ARMA(2,1)",Box-Jenkins,2010,2011,1,6.94789198173555,4.160756631036565,-2.7871353506989847
"ARIMA(1,1,1)",Box-Jenkins,2010,2011,1,6.94789198173555,4.138295291243125,-2.809596690492425
"ARIMA(2,1,0)",Box-Jenkins,2010,2011,1,6.94789198173555,3.497332151349048,-3.450559830386502
AR(1)+COVID,Box-Jenkins,2010,2011,1,6.94789198173555,4.306843810857797,-2.6410481708777533
"ARMA(1,1)+COVID",Box-Jenkins,2010,2011,1,6.94789198173555,4.169026646263732,-2.778865335471818
"SARIMAX(1,0,0)+macro",con exogenas,2010,2011,1,6.94789198173555,2.2317157419176494,-4.716176239817901
"SARIMAX(1,0,1)+macro+COVID",con exogenas,2010,2011,1,6.94789198173555,1.8312779457168022,-5.116614036018747
VAR(2),con exogenas,2010,2011,1,6.94789198173555,3.392164754926398,-3.555727226809152
Ridge,regularizado,2010,2011,1,6.94789198173555,3.761844611025022,-3.186047370710528
Lasso,regularizado,2010,2011,1,6.94789198173555,4.011501254307427,-2.9363907274281233
ElasticNet,regularizado,2010,2011,1,6.94789198173555,4.086857270165355,-2.861034711570195
Factores PCA + AR,regularizado,2010,2011,1,6.94789198173555,3.414358978628687,-3.533533003106863
Random Forest,aprendizaje,2010,2011,1,6.94789198173555,3.9913940826831786,-2.9564978990523714
Gradient Boosting,aprendizaje,2010,2011,1,6.94789198173555,4.571711197131046,-2.3761807846045038
MLP,aprendizaje,2010,2011,1,6.94789198173555,7.525382857835903,0.5774908761003532
LSTM,red neuronal,2010,2011,1,6.94789198173555,4.720017153644587,-2.227874828090963
CNN 1D,red neuronal,2010,2011,1,6.94789198173555,3.643138050000209,-3.304753931735341
Ingenuo,referencia,2011,2012,1,3.91263576716115,6.94789198173555,3.0352562145744
Media historica,referencia,2011,2012,1,3.91263576716115,4.2241896760134034,0.3115539088522534
Media 5 anios,referencia,2011,2012,1,3.91263576716115,4.52076809500011,0.6081323278389603
Deriva,referencia,2011,2012,1,3.91263576716115,6.985065481682439,3.0724297145212893
AR(1),Box-Jenkins,2011,2012,1,3.91263576716115,5.523507421493308,1.6108716543321582
AR(2),Box-Jenkins,2011,2012,1,3.91263576716115,5.47629629585478,1.5636605286936303
MA(1),Box-Jenkins,2011,2012,1,3.91263576716115,5.064824512465425,1.1521887453042754
MA(2),Box-Jenkins,2011,2012,1,3.91263576716115,5.7448308040075435,1.8321950368463935
"ARMA(1,1)",Box-Jenkins,2011,2012,1,3.91263576716115,5.493161138377261,1.5805253712161114
"ARMA(2,1)",Box-Jenkins,2011,2012,1,3.91263576716115,5.782801989727236,1.8701662225660862
"ARIMA(1,1,1)",Box-Jenkins,2011,2012,1,3.91263576716115,5.501876999343634,1.5892412321824838
"ARIMA(2,1,0)",Box-Jenkins,2011,2012,1,3.91263576716115,5.824446805075318,1.9118110379141684
AR(1)+COVID,Box-Jenkins,2011,2012,1,3.91263576716115,5.523507421493308,1.6108716543321582
"ARMA(1,1)+COVID",Box-Jenkins,2011,2012,1,3.91263576716115,5.493161138377261,1.5805253712161114
"SARIMAX(1,0,0)+macro",con exogenas,2011,2012,1,3.91263576716115,4.426198937936172,0.5135631707750217
